 Comment, MPN, Manufacturer, Part Number, Supplier, Quantity
"1u,25V",CGA4J3X7R1E105K125AB,TDK,445-5687-1-ND,Digikey,5
"10u,16V",CGA4J1X5R1C106M125AC,TDK,445-12654-1-ND,Digikey,2
"18p,50V",C0805C180J5GACTU,KEMET,399-1112-1-ND,Digikey,2
"100n,50V",C2012X7R1H104K085AA,TDK,445-7534-1-ND,Digikey,4
GRN,LG L29K-F2J1-24-Z,OSRAM,475-3118-1-ND,Digikey,1
MPZ2012S601AT000,MPZ2012S601AT000,TDK,445-2206-1-ND,Digikey,1
10118193-0001LF,10118193-0001LF,Amphenol,609-4616-1-ND,Digikey,1
HDR_MALE_RA_2.54MM_1X4,M20-9750446,Harwin,952-1965-ND,Digikey,1
1MR,RC0805FR-071ML,Yageo,311-1.00MCRCT-ND,Digikey,1
22R,AC0805FR-0722RL,Yageo,YAG3713CT-ND,Digikey,2
1K5R,CRG0805F1K5,TE Connectivity,A106057CT-ND,Digikey,1
560R,RC0805FR-07560RL,Yageo,311-560CRCT-ND,Digikey,2
0R,RC0805JR-070RL,Yageo,311-0.0ARCT-ND,Digikey,3
10KR,RC0805FR-0710KL,Yageo,311-10.0KCRCT-ND,Digikey,2
Cherry_MX,MX1A-11NN,Cherry Americas,CH162-ND,Digikey,9
PUSB3FR4Z,PUSB3FR4Z,Nexperia USA,1727-2026-1-ND,Digikey,1
TL1963A-33DCQT,TL1963A-33DCQT,Texas Instruments,296-32342-1-ND,Digikey,1
STM32F103C8T6TR,STM32F103C8T6TR,ST,497-17666-1-ND,Digikey,1
8MHz,ABM3B-8.000MHZ-10-D-1-G-T,Abracon LLC,535-13456-1-ND,DigiKey,1
BC32725TA,BC32725TA,ON Semiconductor,BC32725TACT-ND,DigiKey,1
